id,marke,slug,produkte,beschreibung,seo_title,meta_description,focus_keyword
1236,Compound Genetics,compound-genetics,25,"Compound Genetics ist eine US-Samenbank und hat mit Apples &amp; Bananas eine der meistkopierten Linien der letzten Jahre hervorgebracht.

Das Programm besteht aus feminisierten Hybriden in Dreierpackungen, darunter Jokerz 31, Marshmallow OG und JAHrassic. Die Linien stammen überwiegend aus dem eigenen Zuchtprogramm.",Compound Genetics Hanfsamen kaufen | Hanfjack,Compound Genetics: feminisierte US-Hybriden wie Apples & Bananas und Jokerz 31. Jetzt bei Hanfjack bestellen.,Compound Genetics
2173,Cookies,cookies,1,"Cookies ist eine kalifornische Marke, die aus der Girl-Scout-Cookies-Genetik hervorgegangen ist.

Im Shop steht Dried Fruit als Dreierpackung. Die Linien der Marke stammen aus dem eigenen Zuchtprogramm.",Cookies Seeds Dried Fruit kaufen | Hanfjack,Cookies: Dried Fruit als 3er-Packung aus dem kalifornischen Zuchtprogramm der Marke. Jetzt bei Hanfjack.,Cookies
13876,Crockett Family Farms x DNA Genetics,crockett-family-farms-x-dna-genetics,1,"Crockett Family Farms x DNA Genetics ist eine Zusammenarbeit zweier US-Samenbanken.

Im Shop steht Tangie Land – eine Linie aus dem Tangie-Umfeld, für das Crockett Family Farms bekannt ist.",Crockett Family Farms x DNA Genetics Tangie Land kaufen | Hanfjack,Crockett Family Farms x DNA Genetics: Tangie Land aus dem bekannten Tangie-Umfeld. Jetzt bei Hanfjack bestellen.,Crockett Family Farms x DNA Genetics
5187,CTIP,ctip,1,"CTIP stellt Aktivkohlefilter in konischer Form her.

Der konische Zuschnitt verjüngt sich zum Mundstück hin und passt dadurch für Durchmesser von 6 bis 7 mm.",CTIP Aktivkohlefilter konisch kaufen | Hanfjack,"CTIP: konische Aktivkohlefilter, die sich zum Mundstück verjüngen und für 6 bis 7 mm passen. Bei Hanfjack.",CTIP
1822,Cyclones,cyclones,1,"Cyclones stellt vorgerollte Cones aus Hanfpapier her – fertig geformte Hülsen, die nur noch befüllt werden müssen.

Kennzeichen der Marke sind der Holz-Tip als Mundstück und die wiederverschließbaren Röhrchen, in denen die Cones geliefert werden. Neben der neutralen Ausführung gibt es aromatisierte Varianten. Die Cones sind tabak- und nikotinfrei.",Cyclones vorgerollte Cones kaufen | Hanfjack,"Cyclones: vorgerollte Cones aus Hanfpapier mit Holz-Tip, tabak- und nikotinfrei. Jetzt bei Hanfjack bestellen.",Cyclones
16063,Dec Ducting,dec-ducting,9,"Dec Ducting liefert Luftführung für Abluftanlagen – Schläuche, Verbinder und Zubehör.

Das Programm umfasst Aluflexschläuche und Combiconnect in Durchmessern von 102 bis 315 mm, jeweils als Meterware. Damit lässt sich die Strecke zwischen Filter, Ventilator und Auslass passend konfektionieren.",Dec Ducting Aluflexschlauch und Verbinder kaufen | Hanfjack,Dec Ducting: Aluflexschläuche und Combiconnect von 102 bis 315 mm als Meterware. Jetzt bei Hanfjack bestellen.,Dec Ducting
13849,Deep East Farms X Doja,deep-east-farms-x-doja,1,"Deep East Farms X Doja ist eine Zusammenarbeit zweier US-Samenbanken.

Im Shop steht Studio 54. Ausführliche Züchterangaben liegen zu dieser Linie nicht in belegbarer Form vor.",Deep East Farms X Doja Studio 54 kaufen | Hanfjack,Deep East Farms X Doja: Studio 54 aus der Zusammenarbeit zweier US-Samenbanken. Jetzt bei Hanfjack bestellen.,Deep East Farms X Doja
16470,DiamondBox,diamondbox,8,"DiamondBox baut Growboxen in mehreren Größen.

Die SL-Reihe ist nach der Kantenlänge benannt – SL60 für 60 cm Grundfläche, SL90 für 90 cm und so weiter. Damit lässt sich die passende Box direkt über die Typenbezeichnung auswählen.",DiamondBox Growboxen kaufen | Hanfjack,"DiamondBox: Growboxen der SL-Reihe, benannt nach der Kantenlänge von 58 bis 90 cm. Jetzt bei Hanfjack bestellen.",DiamondBox
15916,Dimlux,dimlux,5,"Dimlux ist ein niederländischer Hersteller von Beleuchtung für den professionellen Anbau.

Die Xtreme-Serie ergänzt das Spektrum um NIR, also nahes Infrarot; die Xplore-Reihe deckt den Bereich darunter ab. Die Leuchten sind auf große Flächen und durchgehenden Betrieb ausgelegt.",Dimlux LED Growlampen kaufen | Hanfjack,Dimlux: Xtreme-LED mit NIR-Anteil und Xplore-Serie für den professionellen Anbau. Jetzt bei Hanfjack bestellen.,Dimlux
7041,DIPSE,dipse,2,"DIPSE ist ein deutscher Hersteller von Feinwaagen.

Die Modelle im Shop wiegen auf 0,01 Gramm genau: die Jungle als Taschenwaage mit gummiertem Gehäuse und Magnetdeckel, die Dab Scale mit Edelstahlfläche und Zubehörfach für Dabber, Matte und Silikondöschen.",DIPSE Feinwaagen kaufen | Hanfjack,"DIPSE: Feinwaagen mit 0,01 g Ablesbarkeit – Jungle als Taschenwaage und Dab Scale mit Zubehörfach. Bei Hanfjack.",DIPSE
14081,DNA Genetics,dna-genetics,11,"DNA Genetics ist eine Samenbank, die aus Kalifornien nach Amsterdam ging und dort seit den Neunzigern arbeitet.

Chocolope und LA Confidential gehören zu den bekanntesten Linien der Marke. Das Programm umfasst feminisierte und reguläre Samen; reguläre Packungen sind hier für alle interessant, die selbst weiterzüchten wollen.",DNA Genetics Hanfsamen kaufen | Hanfjack,"DNA Genetics aus Amsterdam: Klassiker wie Chocolope, feminisiert und regulär. Jetzt bei Hanfjack bestellen.",DNA Genetics
4725,Doja,doja,7,"Doja ist eine US-Samenbank mit feminisierten und regulären Linien.

Die Sorten tragen Namen wie Lemonessence, Lemongrass Gas und Melon Melange und kommen je nach Linie in Dreier- oder Sechserpackungen.",Doja Hanfsamen kaufen | Hanfjack,Doja: feminisierte und reguläre US-Linien wie Lemonessence und Melon Melange. Jetzt bei Hanfjack bestellen.,Doja
11574,Doktorfreezy,doktorfreezy,1,"Doktorfreezy führt ein Reinigungsset für Glas und Zubehör.

Das CleanUp-Set fasst die Mittel zusammen, mit denen sich Rückstände aus Bongs, Köpfen und Kleinteilen lösen lassen.",Doktorfreezy CleanUp-Set kaufen | Hanfjack,"Doktorfreezy: CleanUp-Set zum Lösen von Rückständen aus Bongs, Köpfen und Kleinteilen. Jetzt bei Hanfjack.",Doktorfreezy
2183,Dope Seeds,dope-seeds,0,"Dope Seeds ist eine Samenbank mit eigenen Kreuzungen und auffälligen Sortennamen.

Zum Programm gehören Zee Bird, Under Preszure, PAWG, Killer Bean, Broken Dreams, Bohemian Raspberry, Bobby Mc Zee, Black Zesty, Bicycle Blaze und American High. Weitergehende Herstellerangaben liegen uns zu dieser Marke nicht in belegbarer Form vor.",Dope Seeds Hanfsamen kaufen | Hanfjack,"Dope Seeds: eigene Kreuzungen wie Zee Bird, PAWG, Killer Bean und Bohemian Raspberry. Jetzt bei Hanfjack bestellen.",Dope Seeds
1947,DrainMaster,drainmaster,1,"DrainMaster führt Untersetzer für Pflanztöpfe.

Der Untersetzer fängt ablaufendes Gießwasser auf und hält es vom Boden fern. Im Shop steht ein Einzelset.",DrainMaster Untersetzer kaufen | Hanfjack,"DrainMaster: Untersetzer für Pflanztöpfe, der ablaufendes Gießwasser auffängt. Jetzt bei Hanfjack bestellen.",DrainMaster
2621,Dutch Passion,dutch-passion,111,"Dutch Passion ist eine der ältesten noch bestehenden Samenbanken Europas und arbeitet seit 1987 von den Niederlanden aus.

Im Programm stehen photoperiodische und selbstblühende Sorten, dazu CBD- und CBG-reiche Linien wie CBD Mazar, Auto CBD-Victory und Auto CBG-Force. Die Marke veröffentlicht zu vielen Sorten unabhängig gemessene Cannabinoidwerte statt reiner Züchterangaben.",Dutch Passion Hanfsamen kaufen | Hanfjack,"Dutch Passion: feminisierte, autoflowering sowie CBD- und CBG-reiche Sorten seit 1987. Jetzt bei Hanfjack bestellen.",Dutch Passion
11568,e-zwider,e-zwider,1,"e-zwider führt aromatisierte Papers im Format 1 1/2.

Das Format liegt zwischen den kurzen Blättchen und King Size. Im Shop steht die Ausführung mit Erdbeeraroma.",e-zwider Papers 1 1/2 kaufen | Hanfjack,"e-zwider: aromatisierte Papers im Format 1 1/2, zwischen kurz und King Size. Jetzt bei Hanfjack bestellen.",e-zwider
16464,Easy Grow,easy-grow,6,"Easy Grow liefert Folien und Zubehör für die Auskleidung von Anbauräumen.

Die Schwarz-Weiß-Folie reflektiert auf der weißen Seite und hält auf der schwarzen das Licht zurück; die Diamond-Folie hat eine strukturierte Oberfläche, die das Licht breiter streut. Dazu kommen Grownetze in verstellbaren Größen.",Easy Grow Folien und Grownetze kaufen | Hanfjack,Easy Grow: Schwarz-Weiß- und Diamond-Reflexionsfolie sowie verstellbare Grownetze. Jetzt bei Hanfjack bestellen.,Easy Grow
13074,Easy Grow LTD,easy-grow-ltd,2,"Easy Grow LTD liefert Erntescheren in zwei Klingenformen.

Gerade Klingen eignen sich für den groben Schnitt, gebogene kommen enger an die Blüte heran, ohne sie zu quetschen. Beide Ausführungen sind für längeres Trimmen ausgelegt.",Easy Grow LTD Erntescheren kaufen | Hanfjack,Easy Grow LTD: Erntescheren mit geraden und gebogenen Klingen für groben und feinen Schnitt. Bei Hanfjack.,Easy Grow LTD
16447,Eazy Plug,eazy-plug,4,"Eazy Plug stellt Anzuchtwürfel aus einer Mischung von Perlit, Torf und Kokos her.

Die Würfel sind pH-stabil eingestellt und vollständig kompostierbar; sie werden direkt mitgepflanzt, ohne dass die Wurzel gestört wird. Es gibt sie als Trays in mehreren Stückzahlen und als größeren Eazy Block.",Eazy Plug Anzuchtwürfel und Blocks kaufen | Hanfjack,"Eazy Plug: pH-stabile Anzuchtwürfel aus Perlit, Torf und Kokos, kompostierbar, als Tray oder Block. Bei Hanfjack.",Eazy Plug
6531,eazyplug,eazyplug,2,"Eazy Plug stellt Anzuchtwürfel aus Perlit, Torf und Kokos her, die pH-stabil eingestellt und kompostierbar sind.

Unter diesem Eintrag stehen die Trays in verschiedenen Stückzahlen und Würfelgrößen – von 24 Stück mit 3,5 cm Kantenlänge bis 150 Stück mit 2,5 cm.",Eazy Plug Stecklingsblöcke und Trays kaufen | Hanfjack,"Eazy Plug: Trays mit Anzuchtwürfeln aus Perlit, Torf und Kokos, pH-stabil und kompostierbar. Bei Hanfjack.",Eazy Plug
1744,Elements,elements,5,"Elements stellt Papers aus Reis her – ein Papier, das fast rückstandsfrei abbrennt.

Erkennungsmerkmal ist das CrissCross-Wasserzeichen, das ein gleichmäßiges Abbrennen unterstützt, sowie die Gummierung aus Zuckergummi statt Klebstoff. Neben Papers in mehreren Farben führt die Marke Aluminiumgrinder.",Elements Reispapers und Grinder kaufen | Hanfjack,"Elements: Papers aus 100 % Reis mit Zuckergummi und CrissCross-Wasserzeichen, dazu Grinder. Bei Hanfjack.",Elements
12986,Enecta,enecta,1,"Enecta ist ein italienischer CBD-Hersteller; im Shop steht ein CBD-Öl für Haustiere.

Das Öl ist ein Ergänzungsfuttermittel mit 5 % CBD in 500 mg. Es ersetzt keine tierärztliche Behandlung.",Enecta CBD-Öl für Haustiere kaufen | Hanfjack,"Enecta: CBD-Öl für Haustiere mit 5 %, als Ergänzungsfuttermittel aus Italien. Jetzt bei Hanfjack bestellen.",Enecta
16518,Essentials,essentials,28,"Essentials ist eine Düngerlinie, die einzelne Aufgaben getrennt abdeckt, statt ein komplettes Programm vorzugeben.

Die PLUS-Reihe umfasst unter anderem FLUSH zum Ausspülen des Substrats vor der Ernte, NO STRESS als Pflanzenhilfsmittel und PK 13/14 für die Blüte. Die meisten Mittel gibt es von 250 ml bis zum 5-Liter-Kanister.",Essentials Dünger und Zusätze kaufen | Hanfjack,"Essentials: PLUS-Reihe mit FLUSH, NO STRESS und PK 13/14 in Gebinden von 250 ml bis 5 L. Jetzt bei Hanfjack bestellen.",Essentials
1249,Ethos Genetics,ethos-genetics,87,"Ethos Genetics ist eine US-Samenbank, die ihre Linien über viele Rückkreuzungen stabilisiert und das in den Sortennamen offenlegt.

Die Kürzel sind Teil der Arbeitsweise: R1 steht für eine erste Selektionsrunde, RBX für eine Rückkreuzung, die Ziffer für deren Generation. Entsprechend einheitlich fallen die Pflanzen innerhalb einer Packung aus. Neben Einzelsorten gibt es Multi-Packs, die mehrere Linien in einer Packung bündeln.",Ethos Genetics Hanfsamen kaufen | Hanfjack,"Ethos Genetics: US-Genetik mit R1- und RBX-Selektionen, feminisiert und autoflowering. Jetzt bei Hanfjack bestellen.",Ethos Genetics
12982,Euphoria,euphoria,2,"Euphoria führt CBD-Produkte für Haustiere – Öle für Katzen und Pflegemittel für Pfoten und Krallen.

Die Öle sind Ergänzungsfuttermittel in niedriger Konzentration, die Salben zur äußerlichen Anwendung bestimmt. Die Produkte ersetzen keine tierärztliche Behandlung.",Euphoria CBD für Katzen und Pfotenpflege kaufen | Hanfjack,Euphoria: CBD-Öl für Katzen als Ergänzungsfuttermittel und Salbe für Pfoten und Krallen. Bei Hanfjack bestellen.,Euphoria
7666,Exotic Seed,exotic-seed,19,"Exotic Seed ist eine spanische Samenbank mit überschaubarem, eigenständigem Programm.

Die Sorten tragen Namen wie Malasaña Cookies, Tangerine Band und Malawi White Truffle. Einige Linien sind auf besonders kurze Blüte gezüchtet – Quick Black Lemon etwa kommt mit 49 Tagen aus.",Exotic Seed Hanfsamen kaufen | Hanfjack,Exotic Seed: spanische Linien wie Malasaña Cookies und Quick Black Lemon mit 49 Tagen Blüte. Bei Hanfjack bestellen.,Exotic Seed
1273,Fast Buds,fast-buds,71,"Fast Buds ist eine Samenbank mit Schwerpunkt auf selbstblühenden Sorten und einer der bekanntesten Namen in diesem Bereich.

Das Programm deckt den gesamten Autoflower-Bereich ab, von kurzen Zyklen um 60 Tage bis zu ertragsstarken Linien, dazu CBD-Sorten in den Verhältnissen 1:1 und 20:1. Einige Sorten gibt es zusätzlich als FF-Version, also photoperiodisch mit verkürzter Blüte.",Fast Buds Hanfsamen kaufen | Hanfjack,"Fast Buds: selbstblühende Sorten mit kurzen Zyklen, dazu CBD-Linien in 1:1 und 20:1. Jetzt bei Hanfjack bestellen.",Fast Buds
16469,Ferna,ferna,3,"Ferna liefert Growzelte und Zimmergewächshäuser.

Die Growtent-Pro-Reihe gibt es in den gängigen Formaten von 80 × 80 bis 100 × 100 cm. Dazu kommen Zimmergewächshäuser für die Anzucht auf der Fensterbank.",Ferna Growzelte und Zimmergewächshäuser kaufen | Hanfjack,Ferna: Growtent Pro in 80 × 80 und 100 × 100 cm sowie Zimmergewächshäuser für die Anzucht. Bei Hanfjack.,Ferna
14144,French Connection,french-connection,0,"French Connection benennt sein Programm überwiegend nach Kaffee- und Dessertnoten.

Geführt werden Diesel Latte, Cherrycello, Glowberry, Grape Frappé, Macha Latte, Mochaccino Cream, Murder Pie und Frappucino. Weitergehende Herstellerangaben liegen uns zu dieser Marke nicht in belegbarer Form vor.",French Connection Hanfsamen kaufen | Hanfjack,"French Connection: Sorten wie Diesel Latte, Cherrycello, Grape Frappé und Mochaccino Cream. Bei Hanfjack.",French Connection
2004,G-Rollz,g-rollz,38,"G-Rollz ist eine Schweizer Marke für Papers und Zubehör und arbeitet mit lizenzierten Motiven – von Banksy über Cheech &amp; Chong bis Hello Kitty.

Das Sortiment reicht von vorgerollten King-Size-Papers über Rolling Trays in zwei Größen bis zu Aufbewahrungsboxen und Geschenksets. Die Papers gibt es ungebleicht, aus organischem Hanfpapier und in eingefärbten Ausführungen.","G-Rollz Papers, Trays und Boxen kaufen | Hanfjack","G-Rollz: vorgerollte Papers, Rolling Trays und Boxen mit Banksy-, Cheech-&-Chong- und Hello-Kitty-Motiven. Bei Hanfjack.",G-Rollz
7667,G13 Labs,g13-labs,1,"G13 Labs ist eine Samenbank, deren Name auf die G13-Genetik verweist.

Im Shop steht Purple Haze als Fünferpackung – eine der ältesten Haze-Linien überhaupt.",G13 Labs Purple Haze kaufen | Hanfjack,"G13 Labs: Purple Haze als 5er-Packung, eine der ältesten Haze-Linien überhaupt. Jetzt bei Hanfjack bestellen.",G13 Labs
1296,Garden Highpro,garden-highpro,7,"Garden Highpro liefert Zubehör für den täglichen Betrieb im Zelt.

Dazu gehören PROPOT-Stofftöpfe mit Griffen, PROCUT-Erntescheren in mehreren Ausführungen, Pumpsprühflaschen und HYGROTHERMO-Messgeräte für Temperatur und Luftfeuchte.","Garden Highpro Stofftöpfe, Scheren und Messgeräte kaufen | Hanfjack","Garden Highpro: PROPOT-Stofftöpfe, PROCUT-Erntescheren, Sprühflaschen und Hygrometer. Jetzt bei Hanfjack bestellen.",Garden Highpro
8698,GIB,gib,4,"GIB liefert Kleinteile für den Anbau – Messbecher und Hilfsmittel für die Pflanzenführung.

Die Messbecher gibt es von 500 bis 2000 ml für das Ansetzen der Nährlösung. Plant Bends sind Klammern, mit denen sich Triebe waagerecht abspreizen lassen, ohne sie zu knicken.",GIB Messbecher und Plant Bends kaufen | Hanfjack,GIB: Messbecher von 500 bis 2000 ml und Plant Bends zum Abspreizen von Trieben. Jetzt bei Hanfjack bestellen.,GIB
16523,GIB Industries,gib-industries,3,"GIB Industries liefert Technik für die Verarbeitung – Pressen, Pressformen und Siebmaschinen.

Im Sortiment stehen ein verstärkter Pressrahmen mit Form, eine 10-Tonnen-Presse als Komplettaufbau sowie der Polm Shaker für die trockene Siebung.",GIB Industries Pressen und Siebtechnik kaufen | Hanfjack,"GIB Industries: Pressrahmen mit Form, 10-Tonnen-Presse und Polm Shaker zur Trockensiebung. Bei Hanfjack.",GIB Industries
130,Gizeh,gizeh,3,"Gizeh ist ein deutscher Papierhersteller aus Gummersbach und seit über hundert Jahren am Markt.

Im Shop stehen King-Size-Slim-Papers in extra feiner Ausführung mit 14 g/m², Filtertips aus Karton mit vorperforierter Faltkante sowie Aktivfilter mit Kokoskohle im 6-mm-Format.","Gizeh Papers, Tips und Aktivfilter kaufen | Hanfjack","Gizeh aus Gummersbach: extra feine King-Size-Slim-Papers, Kartontips und 6-mm-Aktivfilter. Bei Hanfjack.",Gizeh
13870,GMLS Breeder Cut Way2Heady,gmls-breeder-cut-way2heady,1,"GMLS Breeder Cut Way2Heady steht für Samen aus einer US-Schnittlinie.

Im Shop steht Super Buff Cherry. Ausführliche Züchterangaben liegen zu dieser Linie nicht in belegbarer Form vor.",GMLS Breeder Cut Super Buff Cherry kaufen | Hanfjack,GMLS Breeder Cut Way2Heady: Super Buff Cherry aus einer US-Schnittlinie. Jetzt bei Hanfjack bestellen.,GMLS Breeder Cut
15483,Goody Glass,goody-glass,31,"Goody Glass ist eine US-Marke für mundgeblasenes Glas mit ausgefallenen Formen.

Im Sortiment stehen Handpfeifen, kleine Dab-Rigs als mehrteilige Sets und Zubehör. Die Stücke sind Einzelanfertigungen aus Borosilikatglas, weshalb Farbverlauf und Details von Exemplar zu Exemplar leicht abweichen.",Goody Glass Pipes und Dab-Rigs kaufen | Hanfjack,Goody Glass: mundgeblasene Handpfeifen und Dab-Rig-Sets aus Borosilikatglas. Jetzt bei Hanfjack bestellen.,Goody Glass
14468,Grand Daddy Genetics,grand-daddy-genetics,16,"Grand Daddy Genetics ist eine US-Samenbank, deren Linien um die Purple-Genetik herum aufgebaut sind.

Im Sortiment stehen Sorten wie Purple Valley OG, Purple Dream und Ken's Kush, überwiegend als reguläre Samen und damit für eigene Zuchtarbeit geeignet.",Grand Daddy Genetics Hanfsamen kaufen | Hanfjack,"Grand Daddy Genetics: Purple-Linien wie Purple Valley OG und Ken's Kush, meist regulär. Jetzt bei Hanfjack.",Grand Daddy Genetics
8033,Granny´s Weed,grannys-weed,9,"Granny´s Weed stellt Aktivkohlefilter in mehreren Durchmessern her.

Neben den reinen Aktivkohlefiltern gibt es Hybrid-Ausführungen, die Aktivkohle mit einem Cellulose-Abschnitt kombinieren. Die Filter kommen in Slim mit 6 mm und 7 mm; dazu führt die Marke Aufbewahrungsdosen im Milchkannen-Design.",Granny´s Weed Aktivkohlefilter kaufen | Hanfjack,"Granny´s Weed: Aktivkohlefilter in 6 und 7 mm, auch als Hybrid mit Celluloseteil. Jetzt bei Hanfjack bestellen.",Granny´s Weed
3958,Graveda,graveda,35,"Graveda ist ein deutscher Hersteller von Geräten für die lösungsmittelfreie Extraktion.

Kernstück sind die Graspresso-Rosinpressen, die es von 600 kg Presskraft bis 20 Tonnen gibt – als Hebelpresse, hydraulisch, pneumatisch und mit elektrischem Zylinder. Dazu kommt das Zubehör: Rosin Bags in Maschenweiten von 5 bis 220 Mikron, Pergamentpapier, Kühlplatte, Pre-Press und Waschmaschinen für die Eiswasser-Extraktion.",Graveda Rosinpressen und Extraktionszubehör kaufen | Hanfjack,"Graveda: Graspresso-Rosinpressen von 600 kg bis 20 t, Rosin Bags, Pergamentpapier und Zubehör. Jetzt bei Hanfjack.",Graveda
13852,Green Bodhi Cut,green-bodhi-cut,1,"Green Bodhi Cut steht für Samen aus der Schnittlinie des US-Züchters Green Bodhi.

Im Shop steht Skywalker Kush 78. Der Züchter arbeitet mit organischem Anbau und eigenen Selektionen.",Green Bodhi Cut Skywalker Kush kaufen | Hanfjack,Green Bodhi Cut: Skywalker Kush 78 aus der Schnittlinie des US-Züchters Green Bodhi. Bei Hanfjack bestellen.,Green Bodhi Cut
16200,Green House Powder Feeding,green-house-powder-feeding,6,"Green House Powder Feeding ist eine Düngerlinie in Pulverform statt als Flüssigkeit.

Pulverdünger werden erst im Gießwasser gelöst, was Gewicht und Lagerraum spart und die Haltbarkeit verlängert. Es gibt Linien je Substrat sowie eine Bio-Reihe, dazu CalMag als Ergänzung in Gebinden von 50 g bis 1 kg.",Green House Powder Feeding Dünger kaufen | Hanfjack,"Green House Powder Feeding: Pulverdünger je Substrat, Bio-Reihe und CalMag von 50 g bis 1 kg. Bei Hanfjack.",Green House Powder Feeding
2174,Green House Seed Co.,green-house-seed-co,32,"Green House Seed Co. ist eine der bekanntesten Samenbanken Amsterdams und hat mit Super Silver Haze und White Widow Sorten hervorgebracht, die bis heute Referenz sind.

Neben diesen Klassikern steht ein wachsendes Programm selbstblühender Sorten, darunter Frosted Guava Auto und King's Kush Auto. Der Züchter gibt zu seinen Sorten THC-Werte auf zwei Nachkommastellen an.",Green House Seed Co. Hanfsamen kaufen | Hanfjack,Green House Seed Co.: Amsterdamer Klassiker wie Super Silver Haze plus neue Autoflower. Jetzt bei Hanfjack bestellen.,Green House Seed Co.
16330,Green Node,green-node,1,"Green Node führt ein Living-Soil-Substrat.

Living Soil ist vorab mit Bodenleben angereichert – Mikroorganismen erschließen die Nährstoffe, statt dass sie als Salz gelöst zugeführt werden. Im Shop steht die 3-kg-Packung.",Green Node Living Soil kaufen | Hanfjack,"Green Node: Living Soil mit angereichertem Bodenleben, in der 3-kg-Packung. Jetzt bei Hanfjack bestellen.",Green Node
16332,Green Planet,green-planet,13,"Green Planet ist ein kanadischer Düngerhersteller und im Shop mit Zusätzen für die Blütephase vertreten.

Rezin zielt auf die Harzbildung, Karbo Boost liefert Kohlenhydrate für das Bodenleben. Beide gibt es in mehreren Gebindegrößen bis hin zu Gebinden für den gewerblichen Einsatz.",Green Planet Rezin und Karbo Boost kaufen | Hanfjack,Green Planet: Rezin für die Harzbildung und Karbo Boost als Kohlenhydratquelle. Jetzt bei Hanfjack bestellen.,Green Planet
16441,Grodan,grodan,4,"Grodan ist ein niederländischer Hersteller von Steinwolle für die Anzucht und den Anbau.

Steinwolle hält Wasser und Luft zugleich und ist inert, das heißt sie bringt selbst keine Nährstoffe mit – die Nährstoffgabe lässt sich dadurch vollständig steuern. Im Sortiment stehen Würfel für Stecklinge und größere Blöcke mit vorbereiteter Öffnung.",Grodan Steinwolle für Anzucht und Anbau kaufen | Hanfjack,"Grodan: Steinwollwürfel für Stecklinge und Blöcke mit 4-cm-Loch, inert und wasserhaltend. Bei Hanfjack.",Grodan
6577,Grounded Genetics,grounded-genetics,0,"Grounded Genetics ist eine Samenbank, die ihre Sorten in Siebenerpacks abgibt.

Im Programm stehen Easy Money, Blue Fumez und Apple Drops, jeweils als 7er-Packung. Weitergehende Herstellerangaben liegen uns zu dieser Marke nicht in belegbarer Form vor.",Grounded Genetics Hanfsamen kaufen | Hanfjack,"Grounded Genetics: Easy Money, Blue Fumez und Apple Drops als 7er-Packungen Hanfsamen. Bei Hanfjack.",Grounded Genetics
3959,Grove Bags,grove-bags,9,"Grove Bags sind Aufbewahrungsbeutel mit einer mehrschichtigen Folie, die Feuchtigkeit reguliert, ohne dass ein Feuchtigkeitspack nötig ist.

Die TerpLoc-Folie lässt Wasserdampf gezielt entweichen und hält den Inhalt laut Hersteller bei 58 bis 62 % relativer Feuchte. Die Beutel gibt es von 3,5 g bis 500 g, teils mit Sichtfenster, dazu eine Vakuum-Variante.",Grove Bags TerpLoc Aufbewahrungsbeutel kaufen | Hanfjack,"Grove Bags: TerpLoc-Beutel halten 58–62 % Feuchte ohne Pack, von 3,5 g bis 500 g. Jetzt bei Hanfjack bestellen.",Grove Bags
16472,Growers Glück,growers-glueck,3,"Growers Glück liefert Zubehör für die Belüftung von Zelten.

Lichtfallen sind Zuluftöffnungen mit umgelenktem Kanal: Luft kommt hinein, Licht nicht heraus. Es gibt sie in 125 und 250 mm; der Space Booster ergänzt das um zusätzliche Luftführung.",Growers Glück Lichtfallen und Zeltzubehör kaufen | Hanfjack,"Growers Glück: Lichtfallen in 125 und 250 mm für lichtdichte Zuluft, dazu Space Booster. Bei Hanfjack.",Growers Glück
16334,GrowsArtig,growsartig,9,"GrowsArtig ist eine Düngermarke mit Pflanzenhilfsmitteln für einzelne Anbauphasen.

Betta Roots ist als Wurzelstimulator ausgelegt, Alfa Boost als Zusatz für die weitere Entwicklung. Die Mittel gibt es von 250 ml bis 5 Liter.",GrowsArtig Betta Roots und Alfa Boost kaufen | Hanfjack,"GrowsArtig: Betta Roots als Wurzelstimulator und Alfa Boost, von 250 ml bis 5 Liter. Jetzt bei Hanfjack bestellen.",GrowsArtig
12716,Growth Technology,growth-technology,2,"Growth Technology ist ein britischer Hersteller und im Shop mit Clonex Mist vertreten.

Das Mittel wird auf frisch gesetzte Stecklinge gesprüht und versorgt sie über das Blatt, solange sie noch keine Wurzeln haben. Es gibt es in 300 und 750 ml.",Growth Technology Clonex Mist kaufen | Hanfjack,"Growth Technology: Clonex Mist zum Besprühen frischer Stecklinge, in 300 und 750 ml. Jetzt bei Hanfjack.",Growth Technology
659,Hanfjack,hanfjack,58,"Hanfjack ist die Eigenmarke des Shops und fasst zusammen, was nicht von einem der geführten Hersteller kommt.

Dazu gehören eigene Samen unter dem Namen Hanfjack Seeds, Stecklinge, Mystery Boxen mit wechselndem Inhalt sowie praktisches Zubehör wie Bindedraht und Kleinteile für den Anbau.","Hanfjack Eigenmarke – Samen, Stecklinge, Zubehör | Hanfjack","Hanfjack Eigenmarke: eigene Samen, Stecklinge, Mystery Boxen und Zubehör für den Anbau. Jetzt im Shop bestellen.",Hanfjack
13974,HASHY,hashy,1,"HASHY führt einen Grinder, der auf Extrakte ausgelegt ist.

Konzentrate lassen sich in einem üblichen Kräutergrinder schlecht zerkleinern, weil sie verkleben. Dieses Gerät ist für die Konsistenz von Extrakten gebaut.",HASHY Grinder für Extrakte kaufen | Hanfjack,"HASHY: Grinder, der speziell für die Konsistenz von Extrakten und Konzentraten gebaut ist. Bei Hanfjack.",HASHY
16462,Heisenberg,heisenberg,4,"Heisenberg baut Pollenmaschinen für die trockene Trennung von Harzdrüsen und Pflanzenmaterial.

Die Trommel rotiert und siebt das Material durch ein Gewebe. Die Maschenweite bestimmt die Reinheit: 100 mesh trennt grob, 150 mesh ist der Standard, 200 mesh liefert das feinste Ergebnis. Ersatztrommeln gibt es in allen drei Weiten.",Heisenberg Pollenmaschine und Trommeln kaufen | Hanfjack,"Heisenberg: Pollenmaschine für die Trockensiebung mit Ersatztrommeln in 100, 150 und 200 mesh. Bei Hanfjack.",Heisenberg
